time;bid;ask;last;volume;time_msc;flags;volume_real
2022-11-30 14:43:26+00:00;26,0;26,01;26,0;26500;1669819406738;sell;26500,0
2022-11-30 14:43:26+00:00;26,0;26,01;26,0;200;1669819406746;sell;200,0
2022-11-30 14:43:26+00:00;26,0;26,01;26,0;200;1669819406958;sell;200,0
2022-11-30 14:43:27+00:00;25,99;26,0;26,0;100;1669819407469;buy;100,0
2022-11-30 14:43:27+00:00;25,99;26,0;25,99;700;1669819407826;sell;700,0
2022-11-30 14:43:28+00:00;25,99;26,0;26,0;1200;1669819408146;buy;1200,0
2022-11-30 14:43:28+00:00;25,99;26,0;26,01;100;1669819408150;buy;100,0
2022-11-30 14:43:28+00:00;25,99;26,0;26,0;200;1669819408393;buy;200,0
2022-11-30 14:43:30+00:00;25,99;26,01;25,99;100;1669819410349;sell;100,0
2022-11-30 14:43:30+00:00;25,99;26,01;26,01;100;1669819410635;buy;100,0
2022-11-30 14:43:30+00:00;25,99;26,01;25,99;100;1669819410656;sell;100,0
2022-11-30 14:43:31+00:00;25,99;26,01;26,01;100;1669819411024;buy;100,0
2022-11-30 14:43:31+00:00;25,99;26,01;26,01;700;1669819411450;buy;700,0
2022-11-30 14:43:32+00:00;26,0;26,01;26,0;500;1669819412435;sell;500,0
2022-11-30 14:43:33+00:00;25,99;26,01;26,01;600;1669819413075;buy;600,0
2022-11-30 14:43:33+00:00;25,99;26,01;26,0;100;1669819413088;both;100,0
2022-11-30 14:43:36+00:00;25,99;26,01;26,0;100;1669819416078;both;100,0
2022-11-30 14:43:36+00:00;26,0;26,01;26,0;100;1669819416999;sell;100,0
2022-11-30 14:43:38+00:00;26,0;26,01;26,01;200;1669819418104;buy;200,0
2022-11-30 14:43:38+00:00;26,0;26,01;26,0;100;1669819418270;sell;100,0
2022-11-30 14:43:38+00:00;26,0;26,01;26,0;100;1669819418326;sell;100,0
2022-11-30 14:43:38+00:00;26,0;26,01;26,01;31900;1669819418480;buy;31900,0
2022-11-30 14:43:38+00:00;26,0;26,01;26,01;100;1669819418496;buy;100,0
2022-11-30 14:43:38+00:00;26,0;26,01;26,01;100;1669819418516;buy;100,0
2022-11-30 14:43:38+00:00;26,0;26,01;26,01;600;1669819418586;buy;600,0
2022-11-30 14:43:38+00:00;26,0;26,01;26,01;600;1669819418586;buy;600,0
2022-11-30 14:43:38+00:00;26,0;26,01;26,0;400;1669819418586;sell;400,0
2022-11-30 14:43:38+00:00;26,0;26,01;26,0;1400;1669819418586;sell;1400,0
2022-11-30 14:43:38+00:00;26,0;26,01;26,0;2000;1669819418587;sell;2000,0
2022-11-30 14:43:38+00:00;26,0;26,02;26,02;100;1669819418823;buy;100,0
2022-11-30 14:43:39+00:00;26,0;26,02;26,01;100;1669819419143;both;100,0
2022-11-30 14:43:39+00:00;26,0;26,02;26,0;9900;1669819419143;sell;9900,0
2022-11-30 14:43:39+00:00;26,01;26,02;26,02;100;1669819419974;buy;100,0
2022-11-30 14:43:40+00:00;26,01;26,02;26,01;1700;1669819420273;sell;1700,0
2022-11-30 14:43:40+00:00;26,01;26,02;26,0;300;1669819420273;sell;300,0
2022-11-30 14:43:41+00:00;26,0;26,02;26,02;100;1669819421934;buy;100,0
2022-11-30 14:43:43+00:00;26,0;26,02;26,0;100;1669819423411;sell;100,0
2022-11-30 14:43:43+00:00;26,0;26,02;26,0;100;1669819423619;sell;100,0
2022-11-30 14:43:44+00:00;26,01;26,02;26,02;100;1669819424434;buy;100,0
2022-11-30 14:43:45+00:00;26,01;26,02;26,01;200;1669819425608;sell;200,0
2022-11-30 14:43:45+00:00;26,01;26,02;26,02;100;1669819425837;buy;100,0
2022-11-30 14:43:47+00:00;26,01;26,02;26,02;100;1669819427601;buy;100,0
2022-11-30 14:43:50+00:00;26,01;26,02;26,02;100;1669819430489;buy;100,0
2022-11-30 14:43:51+00:00;26,01;26,02;26,02;100;1669819431019;buy;100,0
2022-11-30 14:43:51+00:00;26,01;26,02;26,02;100;1669819431023;buy;100,0
2022-11-30 14:43:53+00:00;26,01;26,02;26,01;100;1669819433762;sell;100,0
2022-11-30 14:43:56+00:00;26,01;26,02;26,01;100;1669819436932;sell;100,0
2022-11-30 14:43:57+00:00;26,01;26,02;26,01;2900;1669819437171;sell;2900,0
2022-11-30 14:43:57+00:00;26,01;26,02;26,01;4500;1669819437325;sell;4500,0
2022-11-30 14:43:57+00:00;26,0;26,02;26,0;500;1669819437421;sell;500,0
2022-11-30 14:43:57+00:00;26,0;26,02;26,0;700;1669819437426;sell;700,0
2022-11-30 14:43:58+00:00;26,0;26,01;26,01;200;1669819438006;buy;200,0
2022-11-30 14:43:59+00:00;26,0;26,01;26,0;1300;1669819439251;sell;1300,0
2022-11-30 14:44:00+00:00;26,0;26,01;26,0;1000;1669819440975;sell;1000,0
2022-11-30 14:44:03+00:00;26,0;26,01;26,01;100;1669819443140;buy;100,0
2022-11-30 14:44:04+00:00;26,0;26,01;26,01;100;1669819444357;buy;100,0
2022-11-30 14:44:04+00:00;26,0;26,01;26,01;100;1669819444370;buy;100,0
2022-11-30 14:44:04+00:00;26,0;26,01;26,01;100;1669819444815;buy;100,0
2022-11-30 14:44:05+00:00;26,0;26,01;26,01;300;1669819445744;buy;300,0
2022-11-30 14:44:06+00:00;26,01;26,02;26,02;100;1669819446197;buy;100,0
2022-11-30 14:44:06+00:00;26,01;26,02;26,01;200;1669819446440;sell;200,0
2022-11-30 14:44:06+00:00;26,01;26,02;26,01;200;1669819446485;sell;200,0
2022-11-30 14:44:07+00:00;26,01;26,02;26,02;300;1669819447325;buy;300,0
2022-11-30 14:44:08+00:00;26,01;26,02;26,01;3000;1669819448188;sell;3000,0
2022-11-30 14:44:08+00:00;26,01;26,02;26,01;30000;1669819448198;sell;30000,0
2022-11-30 14:44:08+00:00;26,01;26,02;26,02;1900;1669819448247;buy;1900,0
2022-11-30 14:44:08+00:00;26,01;26,02;26,02;2800;1669819448425;buy;2800,0
2022-11-30 14:44:08+00:00;26,01;26,02;26,01;3000;1669819448509;sell;3000,0
2022-11-30 14:44:09+00:00;26,01;26,02;26,01;1000;1669819449945;sell;1000,0
2022-11-30 14:44:10+00:00;26,01;26,02;26,02;100;1669819450829;buy;100,0
2022-11-30 14:44:10+00:00;26,01;26,02;26,02;200;1669819450914;buy;200,0
2022-11-30 14:44:11+00:00;26,01;26,02;26,02;200;1669819451423;buy;200,0
2022-11-30 14:44:11+00:00;26,01;26,02;26,02;100;1669819451674;buy;100,0
2022-11-30 14:44:11+00:00;26,01;26,02;26,01;100;1669819451860;sell;100,0
2022-11-30 14:44:12+00:00;26,01;26,02;26,02;100;1669819452162;buy;100,0
2022-11-30 14:44:13+00:00;26,01;26,02;26,02;200;1669819453362;buy;200,0
2022-11-30 14:44:13+00:00;26,01;26,02;26,01;300;1669819453421;sell;300,0
2022-11-30 14:44:13+00:00;26,01;26,02;26,02;1700;1669819453435;buy;1700,0
